program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
master's (ds),False,less than 1 year,3,macos,True,english,"asia, north america",2000-09-24,1900-01-01 07:30:00,1900-01-01 03:00:00,summer,tea,pet rock,,comedy,"reading, hiking",
master's (ds),False,1-2 years,3,wsl,True,"english, cantonese, portuguese, hindi","asia, north america",2004-08-08,1900-01-01 10:00:00,1900-01-01 23:15:00,spring,coffee,dog,Oppenheimer,drama,climbing,😀
mit master's,True,1-2 years,3,macos,False,"english, french, portuguese",north america,2008-01-07,1900-01-01 06:30:00,1900-01-01 00:00:00,spring,tea,none,Oppenheimer,"action, sci-fi",climbing,🤞
bachelor's (cs),False,1-2 years,2,macos,True,"english, cantonese, mandarin, hindi","asia, north america",2008-01-07,1900-01-01 08:30:00,1900-01-01 22:15:00,summer,tea,pet rock,Parasite,comedy,climbing,🤞
master's (ds) [extension school],True,1-2 years,3,windows,False,"english, hindi, mandarin","africa, asia, europe",2003-08-08,1900-01-01 08:15:00,1900-01-01 23:30:00,summer,tea,fish,,sci-fi,"reading, hiking",
master's (ds),True,2-4 years,3,macos,True,"english, spanish","europe, north america",1990-01-15,1900-01-01 07:15:00,1900-01-01 22:30:00,spring,tea,none,La La Land,horror,climbing,🤞
phd,True,4+ years,4,macos,True,"english, portuguese","africa, asia, europe",1989-12-17,1900-01-01 10:00:00,1900-01-01 00:45:00,fall,energy drinks,none,Interstellar,"comedy, drama","cooking, movies",😀
master's (ds),True,less than 1 year,1,macos,True,english,"europe, north america",1999-12-24,1900-01-01 06:30:00,1900-01-01 03:45:00,summer,no caffeine for me!,dog,The Matrix,"comedy, drama","cooking, movies",🤞
bachelor's (am),True,2-4 years,3,macos,False,"english, portuguese, korean, german","europe, north america",1992-04-24,1900-01-01 06:00:00,1900-01-01 23:30:00,winter,coffee,none,,horror,,😀
master's (ds) [extension school],True,less than 1 year,1,linux,True,english,"africa, asia, europe",1999-11-15,1900-01-01 06:15:00,1900-01-01 00:15:00,fall,no caffeine for me!,fish,Oppenheimer,horror,"cooking, movies",
bachelor's (statistics),True,4+ years,4,windows,True,"english, japanese","africa, asia, europe",2007-03-07,1900-01-01 06:00:00,1900-01-01 22:15:00,spring,no caffeine for me!,,The Matrix,horror,"cooking, movies",
bachelor's (cs),False,4+ years,4,windows,True,english,north america,1999-06-01,1900-01-01 11:00:00,1900-01-01 23:45:00,summer,coffee,fish,Oppenheimer,"comedy, drama","music, running",
master's (ds),False,1-2 years,3,macos,True,"english, hindi",north america,2000-02-07,1900-01-01 07:00:00,1900-01-01 22:30:00,fall,coffee,pet rock,Spirited Away,sci-fi,climbing,
master's (ds) [extension school],True,2-4 years,5,macos,False,"english, spanish, portuguese","africa, asia, europe",2006-03-09,1900-01-01 07:45:00,1900-01-01 22:30:00,fall,coffee,none,Interstellar,comedy,"reading, hiking",😀
master's (ds) [extension school],True,1-2 years,3,i use google colab,True,"english, spanish","europe, north america",2005-09-07,1900-01-01 10:15:00,1900-01-01 22:45:00,spring,coffee,pet rock,,horror,"reading, hiking",🤞
bachelor's (am),True,2-4 years,3,i use google colab,True,english,north america,2000-03-18,1900-01-01 06:45:00,1900-01-01 00:15:00,summer,tea,pet rock,Oppenheimer,drama,"music, running",😀
master's (ds),True,1-2 years,2,windows,False,english,"africa, asia, europe",2002-03-17,1900-01-01 07:45:00,1900-01-01 23:30:00,spring,tea,fish,The Matrix,horror,climbing,
master's (ds),True,less than 1 year,1,windows,False,english,north america,2003-04-13,1900-01-01 11:15:00,1900-01-01 00:30:00,fall,coffee,dog,Oppenheimer,comedy,gaming,😀
bachelor's (statistics),True,less than 1 year,2,macos,True,"english, korean","europe, north america",2005-03-17,1900-01-01 11:00:00,1900-01-01 00:45:00,fall,coffee,pet rock,Parasite,"action, sci-fi",gaming,😀
master's (ds) [extension school],True,less than 1 year,3,macos,False,"english, russian","europe, north america",1995-05-06,1900-01-01 11:15:00,1900-01-01 23:15:00,fall,coffee,pet rock,Interstellar,drama,climbing,🤞
hks master's,True,1-2 years,2,windows,True,"english, spanish",north america,2005-06-08,1900-01-01 07:30:00,1900-01-01 01:30:00,winter,tea,cat,Oppenheimer,"comedy, drama",,
bachelor's (statistics),False,1-2 years,4,macos,False,"english, cantonese",north america,1992-01-10,1900-01-01 08:45:00,1900-01-01 00:30:00,fall,tea,dog,La La Land,sci-fi,"music, running",😀
bachelor's (cs),True,2-4 years,3,macos,True,"english, mandarin","europe, north america",2003-11-12,1900-01-01 09:45:00,1900-01-01 01:15:00,spring,coffee,none,,drama,"cooking, movies",🤞
master's (ds),True,less than 1 year,1,windows,True,"english, portuguese","europe, north america",2008-04-12,1900-01-01 07:15:00,1900-01-01 01:15:00,fall,tea,none,Oppenheimer,comedy,"music, running",🤞
phd,True,1-2 years,2,macos,True,english,north america,1996-06-27,1900-01-01 06:15:00,1900-01-01 00:00:00,summer,coffee,pet rock,Spirited Away,horror,,😀
master's (ds),True,1-2 years,2,i use google colab,False,"english, portuguese","asia, north america",2006-01-01,1900-01-01 07:30:00,1900-01-01 00:15:00,winter,tea,fish,,"action, sci-fi","reading, hiking",😀
hks master's,False,less than 1 year,1,macos,False,english,"asia, north america",,1900-01-01 06:30:00,1900-01-01 01:30:00,fall,coffee,dog,La La Land,horror,"cooking, movies",🤞
mit master's,True,1-2 years,3,windows,True,english,"africa, asia, europe",1999-01-17,1900-01-01 09:45:00,1900-01-01 00:00:00,summer,tea,none,La La Land,drama,"music, running",
master's (ds),False,1-2 years,2,macos,True,,"europe, north america",2002-04-01,1900-01-01 11:30:00,1900-01-01 00:15:00,fall,coffee,,Oppenheimer,"action, sci-fi","cooking, movies",
master's (ds),True,less than 1 year,2,windows,False,"english, spanish, hindi","africa, asia, europe",1997-11-23,1900-01-01 07:45:00,1900-01-01 22:15:00,winter,tea,none,Interstellar,drama,"cooking, movies",😴
bachelor's (cs),False,less than 1 year,2,macos,False,english,north america,2001-02-12,1900-01-01 06:15:00,1900-01-01 23:30:00,winter,no caffeine for me!,cat,The Matrix,"action, sci-fi",,
bachelor's (statistics),True,4+ years,3,macos,True,"english, portuguese, german","asia, north america",2003-09-05,1900-01-01 07:30:00,1900-01-01 00:45:00,summer,coffee,pet rock,Interstellar,"action, sci-fi",,😴
master's (ds) [extension school],False,2-4 years,2,windows,True,"english, spanish, mandarin","europe, north america",2006-10-25,1900-01-01 09:00:00,1900-01-01 22:00:00,fall,tea,,The Matrix,comedy,climbing,🤞
bachelor's (statistics),True,1-2 years,2,wsl,True,"english, portuguese","europe, north america",2006-10-22,1900-01-01 11:45:00,1900-01-01 00:30:00,summer,coffee,dog,Parasite,comedy,"reading, hiking",
bachelor's (cs),True,less than 1 year,2,windows,True,"english, spanish",north america,2007-02-10,1900-01-01 11:30:00,1900-01-01 00:00:00,winter,coffee,cat,,"action, sci-fi",,
bachelor's (cs),True,4+ years,3,macos,True,english,north america,2002-09-11,1900-01-01 06:00:00,1900-01-01 23:30:00,summer,coffee,fish,Parasite,drama,"cooking, movies",😴
bachelor's (cs),True,1-2 years,2,macos,True,"english, german, french, cantonese",north america,2007-12-02,1900-01-01 06:15:00,1900-01-01 23:00:00,spring,tea,fish,Interstellar,"comedy, drama",gaming,😀
master's (ds),True,1-2 years,2,macos,True,"english, hindi","europe, north america",2007-04-08,1900-01-01 07:45:00,,spring,no caffeine for me!,dog,Parasite,,"reading, hiking",😴
mit master's,True,4+ years,4,macos,True,english,north america,,1900-01-01 07:30:00,1900-01-01 22:45:00,fall,coffee,pet rock,Spirited Away,"comedy, drama","reading, hiking",😀
bachelor's (statistics),False,less than 1 year,1,macos,True,"english, french","africa, asia, europe",1993-08-16,1900-01-01 06:00:00,1900-01-01 22:30:00,summer,coffee,dog,The Matrix,"comedy, drama","reading, hiking",
master's (ds) [extension school],True,2-4 years,3,i use google colab,True,english,"asia, north america",2000-11-08,1900-01-01 08:45:00,1900-01-01 02:15:00,fall,coffee,pet rock,Spirited Away,"action, sci-fi",gaming,🤞
bachelor's (cs),True,less than 1 year,1,macos,True,,"europe, north america",2005-11-05,1900-01-01 06:15:00,1900-01-01 00:15:00,fall,coffee,dog,Spirited Away,,"music, running",
master's (ds) [extension school],True,less than 1 year,1,macos,False,"english, korean","asia, north america",2003-03-10,1900-01-01 11:30:00,1900-01-01 00:15:00,fall,no caffeine for me!,cat,Oppenheimer,horror,"reading, hiking",😀
mit master's,True,2-4 years,3,macos,True,english,"asia, north america",1997-12-09,1900-01-01 06:30:00,1900-01-01 01:15:00,winter,tea,fish,Interstellar,drama,"reading, hiking",🤞
bachelor's (am),True,less than 1 year,1,macos,True,english,"asia, north america",2007-06-24,1900-01-01 09:00:00,1900-01-01 23:45:00,spring,tea,none,,drama,gaming,
bachelor's (am),True,1-2 years,4,windows,False,"english, cantonese","asia, north america",2004-05-22,1900-01-01 11:15:00,1900-01-01 00:45:00,winter,tea,dog,Interstellar,"comedy, drama","music, running",
mit master's,True,1-2 years,2,macos,True,"english, russian, portuguese, cantonese","africa, asia, europe",1995-01-22,1900-01-01 09:45:00,1900-01-01 00:00:00,fall,tea,none,,"action, sci-fi","music, running",
bachelor's (cs),True,less than 1 year,2,macos,True,english,"asia, north america",2006-11-12,1900-01-01 11:45:00,1900-01-01 23:45:00,fall,tea,none,,horror,"cooking, movies",
mit master's,True,2-4 years,3,windows,False,"english, french","europe, north america",2002-01-19,1900-01-01 08:00:00,1900-01-01 23:45:00,fall,no caffeine for me!,fish,The Matrix,drama,,🤞
mit master's,True,1-2 years,2,wsl,False,"english, cantonese, korean","africa, asia, europe",2000-09-26,1900-01-01 11:30:00,1900-01-01 23:15:00,summer,energy drinks,fish,La La Land,,"reading, hiking",
mit master's,True,1-2 years,1,macos,True,"english, spanish, mandarin","europe, north america",2002-12-10,1900-01-01 06:45:00,1900-01-01 22:15:00,spring,tea,pet rock,Parasite,drama,"cooking, movies",😴
phd,False,1-2 years,2,macos,False,"english, korean, japanese","europe, north america",2003-03-08,1900-01-01 08:45:00,1900-01-01 00:30:00,summer,tea,none,,drama,"music, running",😴
bachelor's (am),True,1-2 years,3,windows,True,english,"asia, north america",2008-01-06,,1900-01-01 02:00:00,summer,coffee,fish,La La Land,,"music, running",😀
master's (ds),True,1-2 years,2,macos,False,english,north america,2004-07-07,1900-01-01 11:15:00,1900-01-01 02:15:00,winter,no caffeine for me!,cat,Interstellar,comedy,"reading, hiking",😀
bachelor's (am),True,1-2 years,2,macos,False,english,north america,1999-11-03,1900-01-01 11:45:00,1900-01-01 00:30:00,fall,coffee,none,The Matrix,"action, sci-fi","cooking, movies",😀
bachelor's (statistics),True,2-4 years,1,macos,True,"english, japanese, korean, russian","asia, north america",2001-04-15,1900-01-01 11:30:00,1900-01-01 23:30:00,winter,tea,dog,The Matrix,"comedy, drama","reading, hiking",🤞
hks master's,False,1-2 years,2,wsl,True,"english, korean","asia, north america",1993-09-08,1900-01-01 08:45:00,1900-01-01 22:00:00,winter,no caffeine for me!,dog,,"action, sci-fi",gaming,😀
bachelor's (cs),True,1-2 years,3,windows,True,"english, mandarin","asia, north america",2000-03-22,1900-01-01 07:00:00,1900-01-01 00:15:00,summer,coffee,cat,The Matrix,"comedy, drama","music, running",
bachelor's (cs),False,less than 1 year,2,macos,True,english,"africa, asia, europe",2006-05-19,1900-01-01 11:15:00,1900-01-01 23:00:00,spring,,dog,Oppenheimer,comedy,"reading, hiking",
mit master's,True,2-4 years,3,macos,True,"english, spanish","asia, north america",2001-06-22,1900-01-01 09:00:00,1900-01-01 23:45:00,spring,coffee,pet rock,Parasite,horror,"cooking, movies",🤞
mit master's,False,1-2 years,2,i use google colab,True,english,"europe, north america",2006-06-09,1900-01-01 06:00:00,1900-01-01 00:15:00,fall,no caffeine for me!,pet rock,Oppenheimer,drama,gaming,
bachelor's (cs),False,less than 1 year,1,macos,True,"english, spanish, portuguese","africa, asia, europe",2000-08-07,1900-01-01 09:30:00,1900-01-01 22:45:00,fall,coffee,cat,,comedy,climbing,
hks master's,True,1-2 years,3,macos,True,"english, russian, german","europe, north america",2004-02-17,1900-01-01 09:30:00,1900-01-01 00:15:00,fall,coffee,dog,Oppenheimer,"comedy, drama",climbing,😴
master's (ds) [extension school],False,less than 1 year,1,windows,False,"english, mandarin","africa, asia, europe",1990-01-06,1900-01-01 07:45:00,1900-01-01 00:30:00,winter,coffee,fish,Interstellar,sci-fi,climbing,
master's (ds) [extension school],False,4+ years,2,linux,True,"english, russian","africa, asia, europe",1995-04-04,1900-01-01 09:15:00,1900-01-01 22:15:00,summer,no caffeine for me!,fish,Parasite,drama,gaming,
master's (ds),True,4+ years,4,macos,True,"english, spanish, russian, german","asia, north america",2001-04-09,1900-01-01 10:15:00,1900-01-01 00:00:00,summer,tea,dog,Spirited Away,"comedy, drama",climbing,😀
bachelor's (statistics),True,less than 1 year,1,windows,True,"english, hindi, korean","asia, north america",2007-09-12,1900-01-01 09:30:00,1900-01-01 00:45:00,fall,tea,pet rock,Parasite,drama,,😴
bachelor's (cs),False,1-2 years,4,macos,True,"english, mandarin, japanese","europe, north america",2005-05-11,1900-01-01 09:30:00,1900-01-01 23:15:00,winter,tea,dog,,"comedy, drama",gaming,
bachelor's (statistics),False,2-4 years,4,wsl,False,"english, korean",north america,1998-10-27,1900-01-01 06:15:00,1900-01-01 23:00:00,fall,tea,pet rock,Oppenheimer,horror,"music, running",
bachelor's (statistics),False,less than 1 year,2,macos,True,english,north america,1999-03-06,1900-01-01 07:45:00,1900-01-01 22:15:00,fall,energy drinks,none,Parasite,"action, sci-fi",,😀
bachelor's (cs),True,1-2 years,3,macos,True,"english, korean, cantonese",north america,1988-01-27,1900-01-01 09:45:00,1900-01-01 02:00:00,summer,coffee,cat,Spirited Away,drama,,
bachelor's (cs),False,1-2 years,4,windows,True,"english, russian","asia, north america",2004-09-05,1900-01-01 10:00:00,1900-01-01 23:15:00,summer,no caffeine for me!,fish,The Matrix,sci-fi,"cooking, movies",🤞
bachelor's (cs),False,2-4 years,2,i use google colab,False,"english, spanish","europe, north america",2008-06-24,1900-01-01 09:45:00,1900-01-01 22:00:00,summer,coffee,cat,,drama,climbing,😀
bachelor's (am),False,4+ years,4,windows,True,"english, cantonese, german, spanish","europe, north america",2004-03-21,1900-01-01 08:45:00,,summer,coffee,cat,,"action, sci-fi","cooking, movies",
master's (ds) [extension school],False,4+ years,4,windows,True,"english, hindi, japanese","europe, north america",2005-08-24,1900-01-01 10:30:00,1900-01-01 23:30:00,fall,energy drinks,fish,Oppenheimer,"comedy, drama",gaming,😀
master's (ds),False,1-2 years,2,macos,True,"english, portuguese","asia, north america",2000-08-09,1900-01-01 06:45:00,1900-01-01 01:30:00,fall,coffee,pet rock,La La Land,"action, sci-fi",climbing,
master's (ds),False,less than 1 year,3,macos,True,"english, german",north america,2006-05-17,1900-01-01 07:30:00,1900-01-01 22:45:00,fall,coffee,fish,La La Land,"action, sci-fi",climbing,🤞
master's (ds) [extension school],True,4+ years,3,windows,False,english,"asia, north america",2002-10-26,1900-01-01 08:30:00,1900-01-01 00:15:00,summer,coffee,pet rock,,,climbing,🤞
phd,True,less than 1 year,1,macos,True,"english, hindi","africa, asia, europe",2005-11-11,1900-01-01 11:30:00,1900-01-01 02:00:00,spring,energy drinks,dog,The Matrix,drama,climbing,😀
bachelor's (am),True,less than 1 year,2,i use google colab,True,english,"europe, north america",,1900-01-01 06:15:00,1900-01-01 23:00:00,fall,energy drinks,dog,Interstellar,drama,"cooking, movies",🤞
